Open,High,Low,Close,Volume,PreviousType
1.05,1.0501,1.04997,1.05004,44,0
1.05,1.0501,1.04997,1.05002,49,0
1.05,1.0501,1.04997,1.05004,54,0
1.05,1.0501,1.04988,1.04986,59,1
1.05,1.0501,1.04986,1.04989,64,1
1.05,1.0501,1.04986,1.04992,69,1
1.05,1.0501,1.04986,1.05004,74,0
1.05,1.0501,1.04986,1.05004,79,0
1.05,1.0501,1.04986,1.04996,84,1
1.05,1.0501,1.04986,1.04998,89,1
1.05,1.0501,1.04986,1.04996,1,1
1.04994,1.04994,1.0499,1.04991,6,1
1.04994,1.04996,1.0499,1.04993,11,1
1.04994,1.04996,1.0499,1.04994,16,0
1.04994,1.04996,1.0499,1.04992,21,1
1.04994,1.04996,1.0499,1.04998,26,0
1.04994,1.04998,1.0499,1.04998,31,0
1.04994,1.05,1.0499,1.05,36,0
1.04994,1.05,1.0499,1.04999,41,0
1.04994,1.05003,1.0499,1.05009,46,0
1.04994,1.0501,1.0499,1.0501,51,0
1.04994,1.05013,1.0499,1.05005,56,0
1.04994,1.05013,1.0499,1.04998,61,0
1.04994,1.05013,1.04994,1.04995,3,0
1.04994,1.05,1.04994,1.04998,8,0
1.04994,1.05,1.04992,1.04994,13,0
1.04994,1.05,1.04992,1.04997,18,0
1.04994,1.05,1.04992,1.04999,23,0
1.04994,1.05,1.04992,1.04996,28,0
1.04994,1.05,1.04992,1.05,33,0
1.04994,1.05,1.04992,1.04998,38,0
1.04994,1.05,1.04992,1.04997,43,0
1.04994,1.05,1.0499,1.04992,48,1
1.04994,1.05,1.0499,1.04988,53,1
1.04994,1.05,1.04982,1.04985,58,1
1.04994,1.05,1.0498,1.04977,63,1
1.04994,1.05,1.04968,1.04969,68,1
1.04994,1.05,1.04967,1.04968,1,1
1.04968,1.04968,1.04961,1.04961,6,1
1.04968,1.0497,1.04961,1.04968,11,0
1.04968,1.0497,1.04961,1.04977,16,0
1.04968,1.04977,1.04961,1.04973,21,0
1.04968,1.04977,1.04961,1.04972,26,0
1.04968,1.04977,1.04961,1.04974,31,0
1.04968,1.04977,1.04961,1.04971,36,0
1.04968,1.04977,1.04961,1.04972,41,0
1.04968,1.04977,1.04961,1.04968,46,0
1.04968,1.04977,1.04961,1.04963,51,1
1.04968,1.04977,1.04961,1.04966,56,1
1.04968,1.04977,1.04961,1.04963,61,1
1.04968,1.04977,1.04961,1.0497,66,0
1.04968,1.04977,1.04961,1.04973,2,0
1.04973,1.04973,1.04963,1.04963,7,1
1.04973,1.04973,1.04961,1.04964,12,1
1.04973,1.04973,1.04961,1.04963,17,1
1.04973,1.04973,1.04961,1.04968,22,1
1.04973,1.04973,1.04961,1.04972,27,1
1.04973,1.04973,1.04961,1.04966,32,1
1.04973,1.04973,1.04961,1.04962,37,1
1.04973,1.04973,1.04961,1.04963,42,1
1.04973,1.04973,1.04961,1.04966,47,1
1.04973,1.04973,1.04961,1.04963,52,1
1.04973,1.04973,1.04961,1.04962,57,1
1.04973,1.04973,1.04961,1.04967,62,1
1.04973,1.04973,1.04961,1.04966,67,1
1.04973,1.04966,1.04966,1.04966,4,1
1.04966,1.04967,1.04959,1.0495700000000001,9,1
1.04966,1.04967,1.0495700000000001,1.04961,14,1
1.04966,1.04967,1.0495700000000001,1.04956,19,1
1.04966,1.04967,1.04956,1.0495700000000001,24,1
1.04966,1.04967,1.04956,1.04955,29,1
1.04966,1.04967,1.04953,1.04951,34,1
1.04966,1.04967,1.04951,1.0495700000000001,39,1
1.04966,1.04967,1.04951,1.04958,44,1
1.04966,1.04967,1.04951,1.04956,49,1
1.04966,1.04967,1.04951,1.04958,54,1
1.04966,1.04967,1.04951,1.04959,59,1
1.04966,1.04967,1.04951,1.04959,64,1
1.04966,1.04967,1.04951,1.04958,2,1
1.04958,1.0496,1.04958,1.04961,7,0
1.04958,1.04962,1.04958,1.04961,12,0
1.04958,1.04962,1.04958,1.04962,17,0
